hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Dumfries & Galloway,2012,Male,75-84,2,39.82,S08000017
NHS Fife,2012,Male,75-84,1,10.91,S08000029
NHS Forth Valley,2012,Male,75-84,3,42.9,S08000019
NHS Grampian,2012,Male,75-84,9,68.73,S08000020
NHS Greater Glasgow & Clyde,2012,Male,75-84,21,85.32,S08000021
NHS Highland,2012,Male,75-84,5,56.17,S08000022
NHS Lanarkshire,2012,Male,75-84,5,35.58,S08000023
NHS Lothian,2012,Male,75-84,11,62.14,S08000024
NHS Tayside,2012,Male,75-84,1,8.69,S08000030
Other,2012,Male,75-84,1,-,Other
NHS Scotland,2012,Male,75-84,72,56.89,NHS Scotland
NHS Ayrshire & Arran,2012,Male,75+,14,110.74,S08000015
NHS Borders,2012,Male,75+,2,44.47,S08000016
NHS Dumfries & Galloway,2012,Male,75+,2,31.65,S08000017
NHS Fife,2012,Male,75+,3,25.79,S08000029
NHS Forth Valley,2012,Male,75+,4,46.04,S08000019
NHS Grampian,2012,Male,75+,10,59.76,S08000020
NHS Greater Glasgow & Clyde,2012,Male,75+,24,77.34,S08000021
NHS Highland,2012,Male,75+,7,62.04,S08000022
NHS Lanarkshire,2012,Male,75+,7,40.48,S08000023
NHS Lothian,2012,Male,75+,14,61.73,S08000024
NHS Tayside,2012,Male,75+,1,6.8,S08000030
Other,2012,Male,75+,1,-,Other
NHS Scotland,2012,Male,75+,89,55.63,NHS Scotland
NHS Ayrshire & Arran,2012,Male,85+,3,116.41,S08000015
NHS Fife,2012,Male,85+,2,81.17,S08000029
NHS Forth Valley,2012,Male,85+,1,58.96,S08000019
NHS Grampian,2012,Male,85+,1,27.46,S08000020
NHS Greater Glasgow & Clyde,2012,Male,85+,3,46.74,S08000021
NHS Highland,2012,Male,85+,2,84,S08000022
NHS Lanarkshire,2012,Male,85+,2,61.73,S08000023
NHS Lothian,2012,Male,85+,3,60.29,S08000024
NHS Scotland,2012,Male,85+,17,50.88,NHS Scotland
NHS Ayrshire & Arran,2012,Male,All ages,203,113.47,S08000015
NHS Borders,2012,Male,All ages,55,99.65,S08000016
NHS Dumfries & Galloway,2012,Male,All ages,69,94.03,S08000017
NHS Fife,2012,Male,All ages,128,72.33,S08000029
NHS Forth Valley,2012,Male,All ages,108,74.62,S08000019
NHS Grampian,2012,Male,All ages,188,66.72,S08000020
NHS Greater Glasgow & Clyde,2012,Male,All ages,589,107.94,S08000021
NHS Highland,2012,Male,All ages,142,90.1,S08000022
NHS Lanarkshire,2012,Male,All ages,359,114.26,S08000023
NHS Lothian,2012,Male,All ages,390,95.78,S08000024
NHS Orkney Islands,2012,Male,All ages,4,37.7,S08000025
NHS Shetland Islands,2012,Male,All ages,5,42.42,S08000026
NHS Tayside,2012,Male,All ages,165,83.06,S08000030
NHS Western Isles,2012,Male,All ages,10,73.25,S08000028
Other,2012,Male,All ages,30,-,Other
NHS Scotland,2012,Male,All ages,2445,95.13,NHS Scotland
NHS Ayrshire & Arran,2013,Both,00-14,217,365.28,S08000015
NHS Borders,2013,Both,00-14,57,320.46,S08000016
NHS Dumfries & Galloway,2013,Both,00-14,38,165.93,S08000017
NHS Fife,2013,Both,00-14,109,181.26,S08000029
NHS Forth Valley,2013,Both,00-14,115,230.78,S08000019
NHS Grampian,2013,Both,00-14,151,166.01,S08000020
NHS Greater Glasgow & Clyde,2013,Both,00-14,462,257.63,S08000021
NHS Highland,2013,Both,00-14,113,221.06,S08000022
NHS Lanarkshire,2013,Both,00-14,304,272.15,S08000023
NHS Lothian,2013,Both,00-14,360,267.8,S08000024
NHS Orkney Islands,2013,Both,00-14,3,91.1,S08000025
NHS Shetland Islands,2013,Both,00-14,5,121.54,S08000026
NHS Tayside,2013,Both,00-14,168,263.6,S08000030
NHS Western Isles,2013,Both,00-14,5,118.15,S08000028
Other,2013,Both,00-14,29,-,Other
NHS Scotland,2013,Both,00-14,2136,250.42,NHS Scotland
NHS Ayrshire & Arran,2013,Both,15-24,55,124.22,S08000015
NHS Borders,2013,Both,15-24,14,119.48,S08000016
NHS Dumfries & Galloway,2013,Both,15-24,21,128.34,S08000017
NHS Fife,2013,Both,15-24,59,126.19,S08000029
NHS Forth Valley,2013,Both,15-24,29,75.6,S08000019
NHS Grampian,2013,Both,15-24,78,102.21,S08000020
NHS Greater Glasgow & Clyde,2013,Both,15-24,189,117.19,S08000021
NHS Highland,2013,Both,15-24,31,90.43,S08000022
NHS Lanarkshire,2013,Both,15-24,86,108.5,S08000023
NHS Lothian,2013,Both,15-24,106,89.75,S08000024
NHS Orkney Islands,2013,Both,15-24,1,40.97,S08000025
NHS Tayside,2013,Both,15-24,69,124,S08000030
NHS Western Isles,2013,Both,15-24,3,108.03,S08000028
Other,2013,Both,15-24,13,-,Other
NHS Scotland,2013,Both,15-24,754,109.23,NHS Scotland
NHS Ayrshire & Arran,2013,Both,25-34,56,142.23,S08000015
NHS Borders,2013,Both,25-34,11,109.03,S08000016
NHS Dumfries & Galloway,2013,Both,25-34,12,83.6,S08000017
NHS Fife,2013,Both,25-34,51,122.21,S08000029
NHS Forth Valley,2013,Both,25-34,28,81.13,S08000019
NHS Grampian,2013,Both,25-34,68,86.46,S08000020
NHS Greater Glasgow & Clyde,2013,Both,25-34,165,101.32,S08000021
NHS Highland,2013,Both,25-34,22,65.65,S08000022
NHS Lanarkshire,2013,Both,25-34,98,122.54,S08000023
NHS Lothian,2013,Both,25-34,104,81.19,S08000024
NHS Orkney Islands,2013,Both,25-34,2,89.41,S08000025
NHS Tayside,2013,Both,25-34,50,100.69,S08000030
NHS Western Isles,2013,Both,25-34,1,38.57,S08000028
Other,2013,Both,25-34,3,-,Other
NHS Scotland,2013,Both,25-34,671,98.64,NHS Scotland
NHS Ayrshire & Arran,2013,Both,35-44,48,100.99,S08000015
NHS Borders,2013,Both,35-44,18,124.61,S08000016
NHS Dumfries & Galloway,2013,Both,35-44,13,74.04,S08000017
NHS Fife,2013,Both,35-44,54,111.47,S08000029
NHS Forth Valley,2013,Both,35-44,36,85.94,S08000019
NHS Grampian,2013,Both,35-44,64,82.01,S08000020
NHS Greater Glasgow & Clyde,2013,Both,35-44,151,100.27,S08000021
NHS Highland,2013,Both,35-44,24,60.53,S08000022
NHS Lanarkshire,2013,Both,35-44,98,107.23,S08000023
NHS Lothian,2013,Both,35-44,114,95.88,S08000024
NHS Orkney Islands,2013,Both,35-44,1,37.99,S08000025
NHS Shetland Islands,2013,Both,35-44,2,63.37,S08000026
NHS Tayside,2013,Both,35-44,39,78.53,S08000030
NHS Western Isles,2013,Both,35-44,1,28.05,S08000028
Other,2013,Both,35-44,6,-,Other
NHS Scotland,2013,Both,35-44,669,94.56,NHS Scotland
NHS Ayrshire & Arran,2013,Both,45-54,72,125.83,S08000015
NHS Borders,2013,Both,45-54,11,60.62,S08000016
NHS Dumfries & Galloway,2013,Both,45-54,19,81.28,S08000017
NHS Fife,2013,Both,45-54,57,103.94,S08000029
NHS Forth Valley,2013,Both,45-54,41,89.43,S08000019
NHS Grampian,2013,Both,45-54,65,77.68,S08000020
NHS Greater Glasgow & Clyde,2013,Both,45-54,234,137.56,S08000021
NHS Highland,2013,Both,45-54,58,116.8,S08000022
NHS Lanarkshire,2013,Both,45-54,109,107.87,S08000023
NHS Lothian,2013,Both,45-54,141,117.5,S08000024
NHS Orkney Islands,2013,Both,45-54,1,29.71,S08000025
NHS Shetland Islands,2013,Both,45-54,1,28.51,S08000026
NHS Tayside,2013,Both,45-54,42,69.95,S08000030
NHS Western Isles,2013,Both,45-54,3,72.55,S08000028
Other,2013,Both,45-54,5,-,Other
NHS Scotland,2013,Both,45-54,859,108.05,NHS Scotland
NHS Ayrshire & Arran,2013,Both,55-64,51,100.33,S08000015
NHS Borders,2013,Both,55-64,14,84.34,S08000016
NHS Dumfries & Galloway,2013,Both,55-64,10,45.57,S08000017
NHS Fife,2013,Both,55-64,24,50.9,S08000029
NHS Forth Valley,2013,Both,55-64,27,72.58,S08000019
NHS Grampian,2013,Both,55-64,43,59.94,S08000020
NHS Greater Glasgow & Clyde,2013,Both,55-64,141,107.79,S08000021
NHS Highland,2013,Both,55-64,42,90.6,S08000022
NHS Lanarkshire,2013,Both,55-64,85,104.28,S08000023
NHS Lothian,2013,Both,55-64,89,93.85,S08000024
NHS Orkney Islands,2013,Both,55-64,1,32.14,S08000025
NHS Shetland Islands,2013,Both,55-64,1,32.11,S08000026
NHS Tayside,2013,Both,55-64,26,49.4,S08000030
NHS Western Isles,2013,Both,55-64,4,97.99,S08000028
Other,2013,Both,55-64,9,-,Other
NHS Scotland,2013,Both,55-64,567,85.66,NHS Scotland
NHS Ayrshire & Arran,2013,Both,65-74,34,81.45,S08000015
NHS Borders,2013,Both,65-74,6,43.28,S08000016
NHS Dumfries & Galloway,2013,Both,65-74,15,79.52,S08000017
NHS Fife,2013,Both,65-74,21,55.97,S08000029
NHS Forth Valley,2013,Both,65-74,31,106.73,S08000019
NHS Grampian,2013,Both,65-74,35,68.02,S08000020
NHS Greater Glasgow & Clyde,2013,Both,65-74,79,81.62,S08000021
NHS Highland,2013,Both,65-74,34,92.72,S08000022
NHS Lanarkshire,2013,Both,65-74,36,59.31,S08000023
NHS Lothian,2013,Both,65-74,54,77.36,S08000024
NHS Orkney Islands,2013,Both,65-74,1,38.45,S08000025
NHS Shetland Islands,2013,Both,65-74,3,130.21,S08000026
NHS Tayside,2013,Both,65-74,19,44.62,S08000030
NHS Western Isles,2013,Both,65-74,3,89.66,S08000028
Other,2013,Both,65-74,3,-,Other
NHS Scotland,2013,Both,65-74,374,73.73,NHS Scotland
NHS Ayrshire & Arran,2013,Both,65+,78,104.58,S08000015
NHS Borders,2013,Both,65+,24,96.24,S08000016
NHS Dumfries & Galloway,2013,Both,65+,28,81.53,S08000017
NHS Fife,2013,Both,65+,35,52.12,S08000029
NHS Forth Valley,2013,Both,65+,59,114.67,S08000019
NHS Grampian,2013,Both,65+,87,92.53,S08000020
NHS Greater Glasgow & Clyde,2013,Both,65+,203,111.33,S08000021
NHS Highland,2013,Both,65+,67,102.72,S08000022
NHS Lanarkshire,2013,Both,65+,73,68.02,S08000023
NHS Lothian,2013,Both,65+,118,91.21,S08000024
NHS Orkney Islands,2013,Both,65+,3,67.42,S08000025
NHS Shetland Islands,2013,Both,65+,3,75.28,S08000026
NHS Tayside,2013,Both,65+,37,46.04,S08000030
NHS Western Isles,2013,Both,65+,7,113.34,S08000028
Other,2013,Both,65+,8,-,Other
NHS Scotland,2013,Both,65+,830,89.66,NHS Scotland
NHS Ayrshire & Arran,2013,Both,75-84,30,123.03,S08000015
NHS Borders,2013,Both,75-84,17,209.59,S08000016
NHS Dumfries & Galloway,2013,Both,75-84,8,69.32,S08000017
NHS Fife,2013,Both,75-84,11,50.57,S08000029
NHS Forth Valley,2013,Both,75-84,22,130.78,S08000019
NHS Grampian,2013,Both,75-84,39,124.97,S08000020
NHS Greater Glasgow & Clyde,2013,Both,75-84,99,156.03,S08000021
NHS Highland,2013,Both,75-84,26,123.59,S08000022
NHS Lanarkshire,2013,Both,75-84,29,81.47,S08000023
NHS Lothian,2013,Both,75-84,46,106.27,S08000024
NHS Orkney Islands,2013,Both,75-84,2,149.14,S08000025
NHS Tayside,2013,Both,75-84,12,43.74,S08000030
NHS Western Isles,2013,Both,75-84,2,98.23,S08000028
Other,2013,Both,75-84,4,-,Other
NHS Scotland,2013,Both,75-84,347,112.22,NHS Scotland
NHS Ayrshire & Arran,2013,Both,75+,44,133.99,S08000015
NHS Borders,2013,Both,75+,18,162.54,S08000016
NHS Dumfries & Galloway,2013,Both,75+,13,83.97,S08000017
NHS Fife,2013,Both,75+,14,47.24,S08000029
NHS Forth Valley,2013,Both,75+,28,124.97,S08000019
NHS Grampian,2013,Both,75+,52,122.15,S08000020
NHS Greater Glasgow & Clyde,2013,Both,75+,124,144.94,S08000021
NHS Highland,2013,Both,75+,33,115.57,S08000022
NHS Lanarkshire,2013,Both,75+,37,79.35,S08000023
NHS Lothian,2013,Both,75+,64,107.43,S08000024
NHS Orkney Islands,2013,Both,75+,2,108.17,S08000025
NHS Tayside,2013,Both,75+,18,47.64,S08000030
NHS Western Isles,2013,Both,75+,4,141.34,S08000028
Other,2013,Both,75+,5,-,Other
NHS Scotland,2013,Both,75+,456,108.97,NHS Scotland
NHS Ayrshire & Arran,2013,Both,85+,14,165.58,S08000015
NHS Borders,2013,Both,85+,1,33.75,S08000016
NHS Dumfries & Galloway,2013,Both,85+,5,126.9,S08000017
NHS Fife,2013,Both,85+,3,38.05,S08000029
NHS Forth Valley,2013,Both,85+,6,107.45,S08000019
NHS Grampian,2013,Both,85+,13,114.42,S08000020
NHS Greater Glasgow & Clyde,2013,Both,85+,25,113.1,S08000021
NHS Highland,2013,Both,85+,7,93.11,S08000022
NHS Lanarkshire,2013,Both,85+,8,72.54,S08000023
NHS Lothian,2013,Both,85+,18,110.52,S08000024
NHS Tayside,2013,Both,85+,6,58,S08000030
NHS Western Isles,2013,Both,85+,2,251.89,S08000028
Other,2013,Both,85+,1,-,Other
NHS Scotland,2013,Both,85+,109,99.79,NHS Scotland
NHS Ayrshire & Arran,2013,Both,All ages,577,154.6,S08000015
NHS Borders,2013,Both,All ages,149,131.02,S08000016
NHS Dumfries & Galloway,2013,Both,All ages,141,93.48,S08000017
NHS Fife,2013,Both,All ages,389,106.22,S08000029
NHS Forth Valley,2013,Both,All ages,335,112.01,S08000019
NHS Grampian,2013,Both,All ages,556,96.97,S08000020
NHS Greater Glasgow & Clyde,2013,Both,All ages,1545,135.85,S08000021
NHS Highland,2013,Both,All ages,357,111.63,S08000022
NHS Lanarkshire,2013,Both,All ages,853,130.78,S08000023
NHS Lothian,2013,Both,All ages,1032,122.31,S08000024
NHS Orkney Islands,2013,Both,All ages,12,55.74,S08000025
NHS Shetland Islands,2013,Both,All ages,12,51.7,S08000026
NHS Tayside,2013,Both,All ages,431,104.68,S08000030
NHS Western Isles,2013,Both,All ages,24,87.08,S08000028
Other,2013,Both,All ages,73,-,Other
NHS Scotland,2013,Both,All ages,6486,122.06,NHS Scotland
NHS Ayrshire & Arran,2013,Female,00-14,98,336.32,S08000015
NHS Borders,2013,Female,00-14,35,399.18,S08000016
NHS Dumfries & Galloway,2013,Female,00-14,11,98.92,S08000017
NHS Fife,2013,Female,00-14,51,174.41,S08000029
NHS Forth Valley,2013,Female,00-14,38,155.87,S08000019
NHS Grampian,2013,Female,00-14,68,153.87,S08000020
NHS Greater Glasgow & Clyde,2013,Female,00-14,197,224.54,S08000021
NHS Highland,2013,Female,00-14,46,185.38,S08000022
NHS Lanarkshire,2013,Female,00-14,114,208.07,S08000023
NHS Lothian,2013,Female,00-14,131,199,S08000024
NHS Orkney Islands,2013,Female,00-14,1,61.77,S08000025
NHS Shetland Islands,2013,Female,00-14,2,102.3,S08000026
NHS Tayside,2013,Female,00-14,65,208.8,S08000030
NHS Western Isles,2013,Female,00-14,3,145.7,S08000028
Other,2013,Female,00-14,9,-,Other
NHS Scotland,2013,Female,00-14,869,208.51,NHS Scotland
NHS Ayrshire & Arran,2013,Female,15-24,37,169.49,S08000015
NHS Borders,2013,Female,15-24,11,190.87,S08000016
NHS Dumfries & Galloway,2013,Female,15-24,13,161.59,S08000017
NHS Fife,2013,Female,15-24,49,207.34,S08000029
NHS Forth Valley,2013,Female,15-24,17,89.64,S08000019
NHS Grampian,2013,Female,15-24,56,149,S08000020
NHS Greater Glasgow & Clyde,2013,Female,15-24,136,168.56,S08000021
NHS Highland,2013,Female,15-24,23,141.66,S08000022
NHS Lanarkshire,2013,Female,15-24,60,154.61,S08000023
NHS Lothian,2013,Female,15-24,77,129.12,S08000024
NHS Orkney Islands,2013,Female,15-24,1,86.66,S08000025
NHS Tayside,2013,Female,15-24,42,152.66,S08000030
NHS Western Isles,2013,Female,15-24,3,226.93,S08000028
Other,2013,Female,15-24,6,-,Other
NHS Scotland,2013,Female,15-24,531,155.05,NHS Scotland
NHS Ayrshire & Arran,2013,Female,25-34,39,190.4,S08000015
NHS Borders,2013,Female,25-34,8,153.73,S08000016
NHS Dumfries & Galloway,2013,Female,25-34,10,134.88,S08000017
NHS Fife,2013,Female,25-34,34,158.24,S08000029
NHS Forth Valley,2013,Female,25-34,19,107.02,S08000019
NHS Grampian,2013,Female,25-34,57,146.48,S08000020
NHS Greater Glasgow & Clyde,2013,Female,25-34,119,144.84,S08000021
NHS Highland,2013,Female,25-34,14,82.93,S08000022
NHS Lanarkshire,2013,Female,25-34,81,195.06,S08000023
NHS Lothian,2013,Female,25-34,62,94.6,S08000024
NHS Orkney Islands,2013,Female,25-34,2,173.76,S08000025
NHS Tayside,2013,Female,25-34,38,152.11,S08000030
Other,2013,Female,25-34,2,-,Other
NHS Scotland,2013,Female,25-34,485,140.14,NHS Scotland
NHS Ayrshire & Arran,2013,Female,35-44,31,123.43,S08000015
NHS Borders,2013,Female,35-44,11,146.16,S08000016
NHS Dumfries & Galloway,2013,Female,35-44,9,97.9,S08000017
NHS Fife,2013,Female,35-44,41,164.88,S08000029
NHS Forth Valley,2013,Female,35-44,31,143.65,S08000019
NHS Grampian,2013,Female,35-44,42,107.76,S08000020
NHS Greater Glasgow & Clyde,2013,Female,35-44,102,130.97,S08000021
NHS Highland,2013,Female,35-44,17,81.48,S08000022
NHS Lanarkshire,2013,Female,35-44,63,134.16,S08000023
NHS Lothian,2013,Female,35-44,88,147.37,S08000024
NHS Tayside,2013,Female,35-44,29,112.76,S08000030
NHS Western Isles,2013,Female,35-44,1,56.05,S08000028
Other,2013,Female,35-44,2,-,Other
NHS Scotland,2013,Female,35-44,467,128.61,NHS Scotland
NHS Ayrshire & Arran,2013,Female,45-54,41,137.5,S08000015
NHS Borders,2013,Female,45-54,6,65.02,S08000016
NHS Dumfries & Galloway,2013,Female,45-54,10,83.28,S08000017
NHS Fife,2013,Female,45-54,48,171.45,S08000029
NHS Forth Valley,2013,Female,45-54,27,116.18,S08000019
NHS Grampian,2013,Female,45-54,49,116.2,S08000020
NHS Greater Glasgow & Clyde,2013,Female,45-54,158,178.41,S08000021
NHS Highland,2013,Female,45-54,40,157.42,S08000022
NHS Lanarkshire,2013,Female,45-54,85,163.33,S08000023
NHS Lothian,2013,Female,45-54,108,177.92,S08000024
NHS Orkney Islands,2013,Female,45-54,1,61.43,S08000025
NHS Shetland Islands,2013,Female,45-54,1,58.96,S08000026
NHS Tayside,2013,Female,45-54,29,94.6,S08000030
NHS Western Isles,2013,Female,45-54,2,98.33,S08000028
Other,2013,Female,45-54,3,-,Other
NHS Scotland,2013,Female,45-54,608,149.32,NHS Scotland
NHS Ayrshire & Arran,2013,Female,55-64,40,151.96,S08000015
NHS Borders,2013,Female,55-64,8,95.36,S08000016
NHS Dumfries & Galloway,2013,Female,55-64,7,62.92,S08000017
NHS Fife,2013,Female,55-64,19,78.5,S08000029
NHS Forth Valley,2013,Female,55-64,19,99.89,S08000019
NHS Grampian,2013,Female,55-64,32,89.75,S08000020
NHS Greater Glasgow & Clyde,2013,Female,55-64,92,136.99,S08000021
NHS Highland,2013,Female,55-64,31,132.03,S08000022
NHS Lanarkshire,2013,Female,55-64,65,154.09,S08000023
NHS Lothian,2013,Female,55-64,64,132.14,S08000024
NHS Orkney Islands,2013,Female,55-64,1,64.39,S08000025
NHS Tayside,2013,Female,55-64,15,55.76,S08000030
NHS Western Isles,2013,Female,55-64,2,100.45,S08000028
Other,2013,Female,55-64,5,-,Other
NHS Scotland,2013,Female,55-64,400,118.37,NHS Scotland
NHS Ayrshire & Arran,2013,Female,65-74,22,99.97,S08000015
NHS Borders,2013,Female,65-74,6,83.39,S08000016
NHS Dumfries & Galloway,2013,Female,65-74,12,122.77,S08000017
NHS Fife,2013,Female,65-74,13,66.33,S08000029
NHS Forth Valley,2013,Female,65-74,22,143.17,S08000019
NHS Grampian,2013,Female,65-74,28,104.36,S08000020
NHS Greater Glasgow & Clyde,2013,Female,65-74,55,105.36,S08000021
NHS Highland,2013,Female,65-74,21,111.16,S08000022
NHS Lanarkshire,2013,Female,65-74,23,70.61,S08000023
NHS Lothian,2013,Female,65-74,31,83.3,S08000024
NHS Orkney Islands,2013,Female,65-74,1,76.45,S08000025
NHS Shetland Islands,2013,Female,65-74,3,262.01,S08000026
NHS Tayside,2013,Female,65-74,8,35.56,S08000030
NHS Western Isles,2013,Female,65-74,2,117.1,S08000028
Other,2013,Female,65-74,2,-,Other
NHS Scotland,2013,Female,65-74,249,92.8,NHS Scotland
NHS Ayrshire & Arran,2013,Female,65+,58,138.63,S08000015
NHS Borders,2013,Female,65+,22,161.07,S08000016
NHS Dumfries & Galloway,2013,Female,65+,23,122.85,S08000017
NHS Fife,2013,Female,65+,25,66.97,S08000029
NHS Forth Valley,2013,Female,65+,42,145.86,S08000019
NHS Grampian,2013,Female,65+,67,128.14,S08000020
NHS Greater Glasgow & Clyde,2013,Female,65+,157,147.9,S08000021
NHS Highland,2013,Female,65+,44,122.56,S08000022
NHS Lanarkshire,2013,Female,65+,52,84.76,S08000023
NHS Lothian,2013,Female,65+,84,114.23,S08000024
NHS Orkney Islands,2013,Female,65+,3,126.85,S08000025
NHS Shetland Islands,2013,Female,65+,3,141.24,S08000026
NHS Tayside,2013,Female,65+,20,44.2,S08000030
NHS Western Isles,2013,Female,65+,6,173.11,S08000028
Other,2013,Female,65+,7,-,Other
NHS Scotland,2013,Female,65+,613,117.26,NHS Scotland
NHS Ayrshire & Arran,2013,Female,75-84,25,178.18,S08000015
NHS Borders,2013,Female,75-84,15,332.15,S08000016
NHS Dumfries & Galloway,2013,Female,75-84,7,109.68,S08000017
NHS Fife,2013,Female,75-84,9,72.5,S08000029
NHS Forth Valley,2013,Female,75-84,15,155.52,S08000019
NHS Grampian,2013,Female,75-84,27,150.94,S08000020
NHS Greater Glasgow & Clyde,2013,Female,75-84,81,211.09,S08000021
NHS Highland,2013,Female,75-84,19,159.4,S08000022
NHS Lanarkshire,2013,Female,75-84,23,108.6,S08000023
NHS Lothian,2013,Female,75-84,37,146.44,S08000024
NHS Orkney Islands,2013,Female,75-84,2,273.22,S08000025
NHS Tayside,2013,Female,75-84,8,50.98,S08000030
NHS Western Isles,2013,Female,75-84,2,167.5,S08000028
Other,2013,Female,75-84,4,-,Other
NHS Scotland,2013,Female,75-84,274,152.3,NHS Scotland
NHS Ayrshire & Arran,2013,Female,75+,36,181.54,S08000015
NHS Borders,2013,Female,75+,16,247.52,S08000016
NHS Dumfries & Galloway,2013,Female,75+,11,122.93,S08000017
NHS Fife,2013,Female,75+,12,67.67,S08000029
NHS Forth Valley,2013,Female,75+,20,148.93,S08000019
NHS Grampian,2013,Female,75+,39,153.2,S08000020
NHS Greater Glasgow & Clyde,2013,Female,75+,102,189.06,S08000021
NHS Highland,2013,Female,75+,23,135.23,S08000022
NHS Lanarkshire,2013,Female,75+,29,100.77,S08000023
NHS Lothian,2013,Female,75+,53,145.92,S08000024
NHS Orkney Islands,2013,Female,75+,2,189.21,S08000025
NHS Tayside,2013,Female,75+,12,52.76,S08000030
NHS Western Isles,2013,Female,75+,4,227.53,S08000028
Other,2013,Female,75+,5,-,Other
NHS Scotland,2013,Female,75+,364,143.05,NHS Scotland
NHS Ayrshire & Arran,2013,Female,85+,11,189.69,S08000015
NHS Borders,2013,Female,85+,1,51.33,S08000016
NHS Dumfries & Galloway,2013,Female,85+,4,155.88,S08000017
NHS Fife,2013,Female,85+,3,56.39,S08000029
NHS Forth Valley,2013,Female,85+,5,132.14,S08000019
NHS Grampian,2013,Female,85+,12,158.54,S08000020
NHS Greater Glasgow & Clyde,2013,Female,85+,21,134.8,S08000021
NHS Highland,2013,Female,85+,4,78.62,S08000022
NHS Lanarkshire,2013,Female,85+,6,78.94,S08000023
NHS Lothian,2013,Female,85+,16,144.72,S08000024
NHS Tayside,2013,Female,85+,4,56.7,S08000030
NHS Western Isles,2013,Female,85+,2,354.61,S08000028
Other,2013,Female,85+,1,-,Other
NHS Scotland,2013,Female,85+,90,120.71,NHS Scotland
NHS Ayrshire & Arran,2013,Female,All ages,344,176.82,S08000015
NHS Borders,2013,Female,All ages,101,172.54,S08000016
NHS Dumfries & Galloway,2013,Female,All ages,83,106.92,S08000017
NHS Fife,2013,Female,All ages,267,141.45,S08000029
NHS Forth Valley,2013,Female,All ages,193,125.54,S08000019
NHS Grampian,2013,Female,All ages,371,128.03,S08000020
NHS Greater Glasgow & Clyde,2013,Female,All ages,961,162.79,S08000021
NHS Highland,2013,Female,All ages,215,131.43,S08000022
NHS Lanarkshire,2013,Female,All ages,520,154,S08000023
NHS Lothian,2013,Female,All ages,614,141.67,S08000024
NHS Orkney Islands,2013,Female,All ages,9,83.05,S08000025
NHS Shetland Islands,2013,Female,All ages,6,52.45,S08000026
NHS Tayside,2013,Female,All ages,238,112.19,S08000030
NHS Western Isles,2013,Female,All ages,17,121.83,S08000028
Other,2013,Female,All ages,34,-,Other
NHS Scotland,2013,Female,All ages,3973,145.2,NHS Scotland
NHS Ayrshire & Arran,2013,Male,00-14,119,393.15,S08000015
NHS Borders,2013,Male,00-14,22,243.93,S08000016
NHS Dumfries & Galloway,2013,Male,00-14,27,229.18,S08000017
